t[s],x[m],y[m],z[m]
0,0,0.0000,1.0000
0.4,0,-0.0025,1.0158
0.8,0,-0.0189,1.0559
1.2,0,-0.0576,1.1022
1.6,0,-0.1181,1.1335
2.0,0,-0.1907,1.1348
2.4,0,-0.2591,1.1021
2.8,0,-0.3062,1.0425
3.2,0,-0.3196,0.9689
3.6,0,-0.2955,0.8930
4.0,0,-0.2406,0.8217
4.4,0,-0.1691,0.7559
4.8,0,-0.0986,0.6949
5.2,0,-0.0438,0.6394
5.6,0,-0.0120,0.5942
6.0,0,-0.0009,0.5662
6.4,0,0.0001,0.5611
6.8,0,0.0053,0.5800
7.2,0,0.0277,0.6190
7.6,0,0.0733,0.6710
8.0,0,0.1387,0.7300
8.4,0,0.2119,0.7937
8.8,0,0.2758,0.8627
9.2,0,0.3140,0.9371
9.6,0,0.3163,1.0128
10.0,0,0.2822,1.0799
10.4,0,0.2206,1.1251
10.8,0,0.1477,1.1382
11.2,0,0.0805,1.1181
11.6,0,0.0321,1.0757
12.0,0,0.0070,1.0304
12.4,0,0.0002,1.0028
14.4,0,0.0000,0.0000